Title,Revenue,LQS,Price,Category,Shop,Sales,Monthly sales,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Favorites,Listing age (days),Personalization required,Creation date,Listing type,Vintage,Supply item,Personalizable,Image count,Free US shipping,Conversion rate,BSR Category,BSR Category (%),Monthly revenue
"1 TCW Marquise and Round Cut Colorless Moissanite Wedding Band Alternating Moissanite Band Full Eternity Band Stackable Band Christmas gift","$11374","58","$121.00","Jewelry","RingsJewels","94","11","Member of the shop","Made to Order","20312","Yes","https://www.etsy.com/listing/1825802910/1-tcw-marquise-and-round-cut-colorless","13","Moissanite,Moissanite Band,Wedding Band,Engagement Ring,Round Moissanite,Marquise Moissanite,Full Eternity Band,Stackable Band,White Gold,Anniversary Gift,Dainty Ring,Labor Day,Women Wedding Band","19.15%","18","5.00","None","9.00 days","6 days","12 days","752","272","Yes","09 Ara, 2024","Physical","No","No","Yes","10","Yes","0.46%","NaN","0.0","$1307",
"Mens Ring Silver Band Ring Mens Signet 18k Gold Ring Mens Jewelry Gift for Him Pinky Ring Stainless Steel - By Twistedpendant","$5467","58","$9.46","Jewelry","Twistedpendant","578","11","Production partner","","144721","Yes","https://www.etsy.com/listing/1013987483/mens-ring-silver-band-ring-mens-signet","13","mens ring,mens silver ring,Silver ring mens,Silver band ring,Silver Rings for men,mens silver rings,rings for men,silver ring men,Steel rings mens,gold signet ring men,mens pinky rings,mens jewellery uk,mens signet ring","13.84%","80","4.60","Lindsey","1.00 days","1 days","1 days","1668","1586","Yes","05 May, 2021","Physical","No","No","No","10","No","0.40%","NaN","0.0","$104",
"Dainty Double CZ Ear Cuff Earring %u2022 No Piercing Required %u2022 18K Gold Vermeil or Sterling Silver","$325","63","$25.00","Jewelry","SeaSideMotifs","13","10","Shop owner","Made to Order","253","Yes","https://www.etsy.com/listing/4343215640/dainty-double-cz-ear-cuff-earring-no","13","gold ear cuff,silver ear cuff,earcuff,fake piercing,multi band ear cuff,statement ear cuff,trendy ear cuff,double ear cuff,dainty ear cuff,pave ear cuff,delicate ear cuff,diamond ear cuff,thick ear cuff","15.38%","2","5.00","None","1.00 days","1 days","1 days","34","40","No","29 Tem, 2025","Physical","No","No","No","10","No","5.14%","NaN","0.0","$245",
"Oura Ring Stacking Ring | 2-Pack Slim 2mm Zircon Band, Titanium Steel, Gold/Silver/Rose Gold/Black","$695","53","$23.99","Jewelry","Bandsmith","29","10","Production partner","Made to Order","1945","No","https://www.etsy.com/listing/4317781291/oura-ring-stacking-ring-2-pack-slim-2mm","13","oura ring stack,dainty ring,stacking ring,stackable ring,oura ring,oura ring charger,smart ring,sleep tracking ring,activity tracker,oura,oura ring gold,workout,oura ring size","13.79%","4","4.00","Kyle","2.00 days","1 days","3 days","50","91","No","09 Haz, 2025","Physical","No","No","No","6","No","1.49%","NaN","0.0","$240",
"Luxury Men's Watch Caesar's Gold | Wrist Watches (Mesh Band) - by Venici Times","$216720","63","$280.00","Jewelry","VeniciTimes","774","10","Shop owner","2010 - 2019","104469","Yes","https://www.etsy.com/listing/720591211/luxury-mens-watch-caesars-gold-wrist","13","black mesh band,black mesh watch,minimalist watch,luxury mens watch,wrist watch men,watch gift for him,analog watch black,black watch men,black strap watch,black band watch,wrist watch black,mens watch black,watch for men","24.68%","191","4.80","None","4.00 days","1 days","7 days","4762","2250","No","11 Tem, 2019","Physical","No","No","No","9","Yes","0.74%","NaN","0.0","$2921",
"Gold Sunburst Arm Cuff, Tigers Eye Boho Upper Arm Bracelet, Goddess Bracelet, Spiral Arm Cuff, Gemstones Armlet, Sun Bohemian Jewelry Gift","$2856","63","$42.00","Jewelry","SilverfashionDesigns","68","10","Member of the shop","Made to Order","0","No","https://www.etsy.com/listing/1870222065/gold-sunburst-arm-cuff-tigers-eye-boho","13","Gift,Arm Cuff,Upper Arm,Greek,Tigers Eye,Bracelet,Jewelry,Boho,Goddess,Armlet,Brass,Bohemian,Sun Arm Cuff","19.12%","13","4.92","None","2.00 days","1 days","3 days","2498","214","No","06 %u015Eub, 2025","Physical","No","No","No","7","No","2.00%","NaN","0.0","$416",
"Genuine Black Onyx Ring, 925 Sterling Silver Onyx Ring, 14k Gold Ring, Simple Band Women's Engagement Ring, Promise Gift Ring","$876","47","$73.00","Jewelry","ShadesofSilverCo","12","10","Shop owner","","3866","Yes","https://www.etsy.com/listing/4344745673/genuine-black-onyx-ring-925-sterling","13","14k Gold Ring,Black Onyx,Black Onyx Ring,Dainty Ring,Gold Onyx Ring,Gold Plated Ring,Minimalist Ring,Onyx Ring,Oval Onyx Ring,Oval Stone Ring,Statement Ring,Vermeil Ring,Wedding Ring","0.00%","0","0.00","None","4.00 days","3 days","5 days","482","38","No","01 A%u011Fu, 2025","Physical","No","No","No","4","Yes","0.31%","NaN","0.0","$723",
"One Side Pave Wedding Band Solid Gold Half Eternity Flat Band 14k Gold Minimalist Moissanite Marriage Band Comfort Fit Classic Women's Band","$7250","58","$145.00","Jewelry","RingsJewels","50","10","Member of the shop","Made to Order","23997","Yes","https://www.etsy.com/listing/1889452145/one-side-pave-wedding-band-solid-gold","13","Solid Gold Ring,4mm Gold Band Ring,Plain Wedding Ring,Simple Wedding Ring,Womens Gold Ring,Comfort Fit Ring,Engravable Band Ring,Moissanite Eternity,Pave Diamond Ring,Cigar Band Ring,Stacking Ring Gold,Eternity Cz Ring,Half Eternity Band","20.00%","10","4.60","None","9.00 days","6 days","12 days","907","175","Yes","17 Mar, 2025","Physical","No","No","Yes","7","Yes","0.21%","NaN","0.0","$1385",
"18K Solid Gold Solitaire Emerald Cut Moissanite Engagement Ring, Diamond Wide band Wedding Ring, Single Stone Ring, Anniversary Gift for Her","$5760","47","$160.00","Jewelry","KarniJewelCraftsIN","36","10","Shop owner","","4324","No","https://www.etsy.com/listing/4306672902/18k-solid-gold-solitaire-emerald-cut","13","Moissanite Ring,14k Gold Ring,Anniversary Gift,Solitaire Ring,Emerald Cut Ring,Wide Band Ring,Diamond Ring,Stackable Ring,Engagement Ring,Personalized Gift,Christmas Gift,Gift for Women,Handmade Ring","19.44%","7","4.00","None","6.50 days","5 days","8 days","192","114","No","17 May, 2025","Physical","No","No","Yes","6","Yes","0.83%","NaN","0.0","$1526",
"4.20 CT Radiant Cut Moissanite Wedding Bridal Set, 14K Solid Gold, With Round Eternity Band, Engagement Ring Set Promise Ring Unique Radiant","$36035","74","$363.99","Jewelry","SKailashJewels","99","10","Shop owner","Made to Order","60120","Yes","https://www.etsy.com/listing/1814336902/420-ct-radiant-cut-moissanite-wedding","13","Wedding Ring,Engagement Ring,Promise ring,ring for her,Anniversary Ring,Bridal ring set,Vintage Style Ring,radiant cut,valentine gift,unique wedding set,moissanite diamond,radiant wedding set,Christmas Gift","33.33%","33","4.79","Manufacture","7.50 days","5 days","10 days","1771","293","No","19 Kas, 2024","Physical","No","No","Yes","7","Yes","0.16%","NaN","0.0","$3692",
"Handmade Moonstone Eternity Band Ring: 925 Sterling Silver","$2079","53","$44.24","Jewelry","SL92India","47","10","Shop owner","Made to Order","8487","No","https://www.etsy.com/listing/4295009290/handmade-moonstone-eternity-band-ring","13","gemstone ring,ring,minimalist ring,Eternity Ring,Band Ring,Eternity Band,Eternity Gold RING,Moonstone Band,Silver Band Ring,Silver Eternity Band,Silver Eternity,full Eternity band,Full Eternity Ring","23.40%","11","4.45","None","4.00 days","3 days","5 days","1018","138","No","22 Nis, 2025","Physical","No","No","Yes","4","Yes","0.55%","NaN","0.0","$453",
"Dainty 14k Gold Diamond Band Ring: Minimalist Moissanite Wedding Band","$1050","53","$105.00","Jewelry","Cristojuanna","10","10","Shop owner","","979","Yes","https://www.etsy.com/listing/4354701745/dainty-14k-gold-diamond-band-ring","13","thin diamond band,diamond engagement,flat bar small ring,diamond wedding band,dainty diamond ring,minimalist ring gift,moissanite ring 14k,personalized gifted,basic simple ring,everyday wear wife,engagement stacking,super thin band 18k,gold moissanite band","0.00%","0","0.00","He helps me to ship my package to my customers better and safer. He also helps me to avoid confusion","6.00 days","3 days","9 days","80","20","No","19 A%u011Fu, 2025","Physical","No","No","Yes","10","Yes","1.02%","NaN","0.0","$1946",
"East to West Bezel Set Oval Cut Moissanite Bridal Ring Set 14k Yellow Gold 3.00 Lab Diamond Plain Wedding Band Ring Set For Anniversary Gift","$3302","58","$254.00","Jewelry","StarGalleryUsa","13","9","Shop owner","Made to Order","1426","Yes","https://www.etsy.com/listing/4336976589/east-to-west-bezel-set-oval-cut","13","moissanite ring,oval cut ring,bridal ring set,wedding band set,anniversary gift,bezel set ring,engagement ring,handmade jewelry,3 carat ring,promise ring,eco friendly jewelry,gold wedding band,fine jewelry","0.00%","0","0.00","None","6.00 days","5 days","7 days","70","53","Yes","17 Tem, 2025","Physical","No","No","Yes","10","Yes","0.91%","NaN","0.0","$2254",
"Mens Ring, Vintage Patterned Silver Band Ring - Silver Ring - Mens Signet Rings - Gold Pinky Ring - Rings for Men - Mens Jewellery Gift","$3741","47","$21.63","Jewelry","Twistedpendant","173","9","Production partner","","12067","No","https://www.etsy.com/listing/1644331228/mens-ring-vintage-patterned-silver-band","13","Mens ring,Gold signet ring men,mens pinky ring,signet ring men,silver rings men,mens ring silver,silver pinky ring,mens jewellery,silver signet ring,rings for men,silver ring men,minimalist ring men,mens band ring","13.87%","24","4.80","Lindsey","1.00 days","1 days","1 days","589","601","No","15 Oca, 2024","Physical","No","No","No","10","No","1.43%","NaN","0.0","$192",
"Thin Band Ring, Minimalist Engraved Thin Band Ring, Everyday Stackable Dainty Jewelry, Personalised Personalized Engraved Message Ring","$948","63","$20.19","Jewelry","OutrageLondon","47","9","Shop owner","Made to Order","4495","Yes","https://www.etsy.com/listing/1887357350/thin-band-ring-minimalist-engraved-thin","13","Skinny band ring,Silver Band Rings,Engraved Band rings,Thin Band Ring,Thin Silver Rings,Personalised Rings,Personalized Rings,Silver Rings,Womans Rings,Mens rings,Gold Rings,Black rings,Rose Gold rings","17.02%","8","5.00","Ryan helps supply our base jewelry, that we then personalise or laser engrave on to.","1.00 days","1 days","1 days","195","150","No","11 Nis, 2025","Physical","No","No","Yes","10","No","1.05%","NaN","0.0","$190",
"Mens Ring Blue Lapis Lazuli Silver Ring - Onyx Ring - Signet Ring Mens - Silver Signet Ring- Silver Rings for Men - Gold Rings Mens Jewelry","$16352","47","$36.50","Jewelry","Twistedpendant","448","9","Production partner","","30918","No","https://www.etsy.com/listing/1057664025/mens-ring-blue-lapis-lazuli-silver-ring","13","Mens rings,Silver Oynx Ring,Silver Signet Ring,Silver band rings,Black onyx ring,Silver rings for men,Silver onyx ring,Lapis Lazuli Ring,Gold signet ring men,mens jewelry,signet ring men,silver ring men,mens ring vintage","13.84%","62","4.50","Lindsey","1.00 days","1 days","1 days","1136","1504","No","26 Tem, 2021","Physical","No","No","No","10","No","1.45%","NaN","0.0","$329",
"Skye Peacock Opal Couples Ring Set- His and Hers Matching Wedding Band Peacock Teal Rose Gold Vermeil & Tungsten Unique Promise Ring Set","$35770","68","$245.00","Jewelry","Aquamarise","146","9","Shop owner","Made to Order","88306","Yes","https://www.etsy.com/listing/1706080329/skye-peacock-opal-couples-ring-set-his","13","Matching ring set,his and hers ring,engagement ring set,wedding ring set,couples promise ring,couple wedding band,promise ring set,bridal ring set,opal couples rings,unique couples ring,Outer space ring set,peacock ring set,green fire opal ring","30.82%","45","5.00","None","4.00 days","3 days","5 days","3418","525","No","31 Mar, 2024","Physical","No","No","Yes","10","Yes","0.17%","NaN","0.0","$2114",
"Twisted Ring in 14k Solid Gold, 1.2mm Wisper Thin Rope Infinity Band, Dainty Stacking Band, Twisted Skinny Wedding Band, Vday Gifts for Her","$67705","63","$104.97","Jewelry","QCustomJewelry","645","8","Shop owner","Made to Order","51880","Yes","https://www.etsy.com/listing/682801710/twisted-ring-in-14k-solid-gold-12mm","13","Two Metal Ring,Hand Made Ring,14k Solid Gold,Infinity Band,14k infity band,two tone band,two color infinity,Skinny Twisted ring,Rope Infinity Band,two tone ring,Twist Infinity Ring,Skinny Wedding Band,Thin Dainty Band","22.95%","148","4.96","None","6.00 days","2 days","10 days","2261","2346","No","06 Nis, 2019","Physical","No","No","No","8","Yes","1.24%","NaN","0.0","$875",
"Mens Ring Silver Steel Chain Band Pinky Rings for Men - Mens Jewelry, Streetwear Jewellery Man Ring - Gifts For Him - By Twistedpendant","$8608","58","$21.63","Jewelry","Twistedpendant","398","8","Production partner","","20100","No","https://www.etsy.com/listing/1061596158/mens-ring-silver-steel-chain-band-pinky","13","mens ring silver,mens jewelry gift,mens pinky rings,mens silver rings,Rings for men,mens rings,pinky rings men,Gold rings for men,silver band rings,statement rings,streetwear ring men,silver ring men,signet ring men","13.82%","55","4.80","Lindsey","1.00 days","1 days","1 days","899","1471","No","28 A%u011Fu, 2021","Physical","No","No","No","10","No","1.98%","NaN","0.0","$177",
"Moissanite Curved Wedding Band Solid Gold Star Design Moissanite Stacking Matching Wedding Band Diamond Cluster Wedding Rings For Women","$20956","68","$338.00","Jewelry","TheRoseCastle","62","8","Shop owner","Made to Order","24120","Yes","https://www.etsy.com/listing/1844340822/moissanite-curved-wedding-band-solid","13","curved wedding band,wedding band,moissanite ring,personalized gift,minimalist ring,gift for her,gold rings,handmade jewelry,personalized jewelry,wedding bands women,unique rings,Personalized ring,valentines day gift","24.19%","15","5.00","None","21.00 days","14 days","28 days","1870","237","Yes","14 Oca, 2025","Physical","No","No","Yes","8","Yes","0.26%","NaN","0.0","$2688",
"Mens Ring - Thin Band Rings for Men - Silver / Gold / Rose Gold / Black Rings - Stainless Steel Ring - Mens Jewelry Unisex Band Pinky Rings","$4921","53","$18.93","Jewelry","Twistedpendant","260","8","Production partner","","8467","No","https://www.etsy.com/listing/1318797888/mens-ring-thin-band-rings-for-men-silver","13","mens ring silver,mens pinky rings,Rings for men,Gold rings for men,silver band rings,silver ring men,thin silver ring,mens band rings,Anniversary rings,black rings men,band ring for men,mens ring,mens jewelry gifts","13.85%","36","5.00","Lindsey","1.00 days","1 days","1 days","343","1048","No","25 Eki, 2022","Physical","No","No","No","10","No","3.07%","NaN","0.0","$143",
"Thin Dainty Gold Dotted Ring, 24k Goldplated Stackable Simple Delicate Ring for Her, Textured Minimalist Everyday Band Stacking Ring","$1975","58","$16.33","Jewelry","Kurafuchi","121","8","Shop owner","","6410","No","https://www.etsy.com/listing/1747113601/thin-dainty-gold-dotted-ring-24k","13","dainty ring,gift for her,hammered ring,simple band ring,simple gold ring,stacking ring,stackable ring,delicate ring,thin stacking ring,dainty stacking ring,thin gold ring,minimalist ring,dot ring","18.18%","22","4.77","None","1.50 days","1 days","2 days","381","451","No","14 Haz, 2024","Physical","No","No","No","9","No","1.89%","NaN","0.0","$132",
"4 inch wide lace trim|Scalloped trim|gold color lace trim|Embroidered lace trim|Home textiles trims|wedding dress accessories|D-0723SC","$608","47","$1.80","Craft Supplies & Tools","robs212finds","338","8","Production partner","","24210","No","https://www.etsy.com/listing/1182283025/4-inch-wide-lace-trimscalloped-trimgold","13","Clothing accessories,Home Textile Supplie,Gold color lace trim,Wedding Trim,Table Cushion Trim,Mattress Trim,4 inch lace trims,sofa lace trim,Lace Trim Accessorie,skirt lace trim,clothing trim band,Lace trims wholesale,trims band dress","16.86%","57","4.96","None","5.00 days","3 days","7 days","1511","1296","No","19 %u015Eub, 2022","Physical","No","Yes","No","4","No","1.40%","NaN","0.0","$14",
"Spun Gold Ring - Silver and Gold Winding Ring Simple but Unique Mixed Metal Ring","$27810","58","$45.00","Jewelry","DreamingTreeCreation","618","8","Shop owner","Made to Order","49146","No","https://www.etsy.com/listing/716441141/spun-gold-ring-silver-and-gold-winding","13","spun ring,wire wrapped,silver and gold,minimalistic,unique,unique ring,spun gold ring,gold and silver,mixed metal ring,artisan ring,everyday ring,squiggle lines,mixed metal jewelry","22.33%","138","4.97","None","12.50 days","10 days","15 days","3646","2268","No","24 Haz, 2019","Physical","No","No","No","10","No","1.26%","NaN","0.0","$372",
"Custom Name ring, Gold band ring, Engraved ring, Stackable Rings, Roman numeral ring, Stacking ring, Custom coordinate ring, Thumb ring R1","$13880","63","$23.85","Jewelry","SNDJ","582","8","Shop owner","Made to Order","13936","No","https://www.etsy.com/listing/722485225/custom-name-ring-gold-band-ring-engraved","13","Stackable Rings,Personalized Ring,Coordinates Ring,Engraved Ring,Best Friend Ring,Bridesmaid Ring,Stacking Ring,Name Ring,Inspiration Ring,roman numeral ring,Bridesmaid gift,Custom ring,graduation gift","11.17%","65","4.89","None","1.50 days","1 days","2 days","412","2243","Yes","19 Tem, 2019","Physical","No","No","Yes","9","Yes","4.18%","NaN","0.0","$186",
"Mens Ring, Mens Gold Signet Ring For Men, Mens Pinky Band Ring - Mens Jewellery - 18K Gold Plated Gemstone Band Ring - By Twistedpendant","$1752","42","$24.34","Jewelry","Twistedpendant","72","8","Production partner","","6725","No","https://www.etsy.com/listing/1810115846/mens-ring-mens-gold-signet-ring-for-men","13","mens ring,rings for men,mens pinky rings,mens signet ring,male rings uk,signet ring men,mens gold ring,gold signet ring,mens rings gold,gold plated ring,gold pinky ring,mens jewelry ring,gold onyx ring","13.89%","10","4.50","Lindsey","1.00 days","1 days","1 days","165","300","No","11 Kas, 2024","Physical","No","No","No","10","No","1.07%","NaN","0.0","$184",
"18K Gold Asymmetrical Ring, Organic Shape Gold Band, Sculptural Statement Jewelry, Minimalist Gift for Him and Her, Modern Boho Ring","$458","47","$57.26","Jewelry","HelloMoonstone","8","8","Member of the shop","","638","Yes","https://www.etsy.com/listing/4343029976/18k-gold-asymmetrical-ring-organic-shape","13","statement ring,hypoallergenic ring,signet ring gold,organic shape ring,sculptural ring,asymmetrical ring,modern gold ring,gold molten ring,handmade jewelry,vintage style ring,anniversary gift,gold handmade ring,eco friendly jewelry","0.00%","0","0.00","None","2.00 days","1 days","3 days","67","41","No","29 Tem, 2025","Physical","No","No","No","10","No","1.25%","NaN","0.0","$676",
"Gold Ring - Mens Ring - 18K Gold Signet Ring For Men - Matte Finished Pinky Signet Ring - Mens Pinky Ring - Minimalist Mens Gold Ring Gift","$778","53","$21.63","Jewelry","Twistedpendant","36","8","Production partner","","1416","Yes","https://www.etsy.com/listing/1903447989/gold-ring-mens-ring-18k-gold-signet-ring","13","mens ring,mens gold ring,gold signet ring,gold ring men,gold rings for men,mens pinky ring,pinky ring men,signet ring men,mens jewelry,rings for men,square signet ring,mens signet ring,gold band ring","13.89%","5","4.20","Lindsey","1.00 days","1 days","1 days","57","145","No","15 Nis, 2025","Physical","No","No","No","10","No","2.54%","NaN","0.0","$179",
"Skye Kite Green Moss Agate & Whiskey Barrel Couples Ring Set- His and Hers Wedding Band- 14K Gold Vermeil/ Tungsten Matching Promise Rings","$14025","63","$255.00","Jewelry","Aquamarise","55","8","Shop owner","Made to Order","16993","Yes","https://www.etsy.com/listing/1855179078/skye-kite-green-moss-agate-whiskey","13","Matching ring set,kite ring set,moss agate ring set,his and hers ring,couples ring set,engagement ring set,wedding ring set,couples promise ring,couple wedding band,promise ring set,man green moss agate,two tone band,nature inspired ring","30.91%","17","4.90","None","4.00 days","3 days","5 days","1113","215","No","04 %u015Eub, 2025","Physical","No","No","Yes","8","Yes","0.32%","NaN","0.0","$2131",
"Rare Tungsten Ring Mens Wedding Band, 5 mm, yellow gold tungsten, yellow gold tungsten band 4-12 Half Sizes Comfort Fit","$109052","63","$180.85","Jewelry","BravermanOren","603","8","Member of the shop","Made to Order","55673","No","https://www.etsy.com/listing/706181658/rare-tungsten-ring-mens-wedding-band-5","13","Jewelry,Ring,Band,Wedding Band,18k Yellow Gold,Custom Engraved,Carbon Fiber Inlay,tungsten wedding,custom tungsten,tungsten band,black tungsten ring,mens tungsten ring,tungsten carbide","35.16%","212","4.90","None","38.50 days","7 days","70 days","1543","2253","No","09 Tem, 2019","Physical","No","No","Yes","6","Yes","1.08%","NaN","0.0","$1461",
"Simple Pave Yellow Gold Diamond Wedding Band - Round Moissanite Matching Ring - Half Eternity Stacking Band by ManhattanBox","$129924","63","$324.00","Jewelry","ManhattanBox","401","8","Shop owner","Made to Order","104629","Yes","https://www.etsy.com/listing/1077955262/simple-pave-yellow-gold-diamond-wedding","12","Vintage ring,wedding band,art deco band,diamond ring,yellow gold band,moissanite band,Manhattan Box,Stacking Rings,Personalized Jewelry,Womens Wedding Band,Gift for Women,Moissanite Ring","36.66%","147","5.00","None","17.50 days","14 days","21 days","3899","1442","Yes","27 Eyl, 2021","Physical","No","No","No","9","Yes","0.38%","NaN","0.0","$2734",
"Half Eternity 14k Solid Gold Wedding Band Moissanite Minimalist Diamond Marriage Band Flat Stacking Ring Comfort Fit Classic Womens Band","$8120","58","$145.00","Jewelry","RingsJewels","56","8","Member of the shop","Made to Order","34029","Yes","https://www.etsy.com/listing/1866767525/half-eternity-14k-solid-gold-wedding","13","14k Yellow Gold Band,4mm 14k Gold Band,4mm Wedding Band,Solid Gold Ring,4mm Gold Band Ring,4mm Flat Gold Ring,Plain Wedding Ring,Simple Wedding Ring,Womens Gold Ring,Comfort Fit Ring,Engravable Band Ring,Moissanite Eternity,Pave Diamond Ring","19.64%","11","4.80","None","9.00 days","6 days","12 days","834","221","Yes","30 Oca, 2025","Physical","No","No","Yes","7","Yes","0.16%","NaN","0.0","$1200",
"Hand Hammered Textured Gold Plated Spinner Band - Thumb Band - Sterling Silver - Spinner Ring - Meditation Ring - Gift Ring - Boho Jewelry","$7644","47","$98.00","Jewelry","SilverArtLuxury","78","8","Shop owner","","8785","Yes","https://www.etsy.com/listing/1803102482/hand-hammered-textured-gold-plated","13","Gold Spinner Ring,Bohemian Ring,Ring for Women,Handmade Ring,Spinner Ring,Gift Ring,Silver Spinner Ring,Gold Anxiety Ring,Anniversary Ring,Spinner Bands,925 Silver Ring,Spin Ring,Gold Spin Ring","16.67%","13","4.31","None","2.00 days","1 days","3 days","611","314","No","29 Eki, 2024","Physical","No","No","No","5","Yes","0.89%","NaN","0.0","$737",
"Kite Green Moss Agate Ring Set- His and Hers Wedding Band- Gold Ring Set- Matching Nature Couples Promise Ring- 14K Yellow Gold Vermeil","$49245","68","$245.00","Jewelry","Aquamarise","201","8","Shop owner","Made to Order","39118","Yes","https://www.etsy.com/listing/1536910791/kite-green-moss-agate-ring-set-his-and","13","Matching ring set,kite ring set,moss agate ring set,his and hers ring,couples ring set,engagement ring set,wedding ring set,couples promise ring,couple wedding band,promise ring set,hammered men's ring,man green moss agate,man gold ring","30.85%","62","4.90","None","4.00 days","3 days","5 days","2151","766","No","03 A%u011Fu, 2023","Physical","No","No","Yes","10","Yes","0.51%","NaN","0.0","$1974",
"3 CT Marquise Cut Engagement Ring Set Vintage Moissanite Solitaire Ring Set With Unique Matching 14K Solid Gold Wedding Promise Band For Her","$11504","53","$273.91","Jewelry","GemshopStore","42","8","Shop owner","Made to Order","31819","No","https://www.etsy.com/listing/1894161945/3-ct-marquise-cut-engagement-ring-set","13","Engagement Ring,Wedding ring,gift for women,Anniversary ring,bridal ring,Solitaire Ring,moissanite ring,Unique bridal set,Marquise cut ring,curve band ring,14k solid gold ring,designer ring,diamond ring","28.57%","12","4.75","None","9.00 days","8 days","10 days","1955","165","No","26 Mar, 2025","Physical","No","No","Yes","10","No","0.13%","NaN","0.0","$2086",
"Minimalist Wedding Rings 18K Gold 2mm 4mm 6mm 8mm Variety Thin Wedding Bands , Thin Stacking Ring, Pinky Ring, Gift For Her, Gift For Him","$3210","63","$30.58","Jewelry","BelleDevie","105","8","Shop owner","Made to Order","4301","Yes","https://www.etsy.com/listing/1780700745/minimalist-wedding-rings-18k-gold-2mm","13","GIFTS FOR HER,GIFTS FOR HIM,WOMENS RINGS,GOLD RINGS,PROMISE RINGS,WOMENS WEDDING RINGS,LASER ENGRAVING,ANNIVERSARY GIFTS,thin wedding band,wedding band women,gold wedding band,Burn titanium ring,Pinky Ring","14.29%","15","4.87","None","4.50 days","3 days","6 days","87","384","No","19 A%u011Fu, 2024","Physical","No","No","No","8","Yes","2.44%","NaN","0.0","$252",
"UK seller! 22pcs pearl gold set rings, gold Ring set ,gift for her Gold Midi Ring Set, cute thin ring set, stackable rings, bohemian","$1267","42","$12.07","Jewelry","Avathing","105","7","Shop owner","Made to Order","30464","Yes","https://www.etsy.com/listing/1758475729/uk-seller-22pcs-pearl-gold-set-rings","12","Rings,Pearl rings,Gold rings,Accessories,Bold rings,Christmas gift,Jewelry,18k Gold Rings,Vermeil Chunky Ring,18k Gold Plated Ring,thick band gold ring,gold ring set","13.33%","14","4.64","None","9.00 days","8 days","10 days","1301","427","No","08 Tem, 2024","Physical","No","No","No","4","No","0.34%","NaN","0.0","$89",
"Mens Ring Gold Band Ring Mens Signet Stainless Steel Rings for Mens Jewelry Gift for Him Pinky Ring - Black Onyx Gemstone Signet Ring Men","$5948","47","$21.63","Jewelry","Twistedpendant","275","7","Production partner","","26383","No","https://www.etsy.com/listing/1226252544/mens-ring-gold-band-ring-mens-signet","13","mens ring,rings for men,Black onyx ring men,mens pinky rings,rose quartz ring,18k gold plated ring,stainless steel ring,jewelry gift for him,gemstone rings men,signet ring men,silver rings men,gold signet rings,mens jewelry","13.82%","38","4.80","Lindsey","1.00 days","1 days","1 days","568","1200","Yes","26 May, 2022","Physical","No","No","No","10","No","1.04%","NaN","0.0","$151",
"Black Onyx & Meteorite Gold Leaf Couples Ring- His and Hers Wedding Band- Gold Ring Set- Matching Nature Couples Unique Vintage Promise Ring","$40050","63","$225.00","Jewelry","Aquamarise","178","7","Shop owner","Made to Order","41093","Yes","https://www.etsy.com/listing/1558693509/black-onyx-meteorite-gold-leaf-couples","13","Matching ring set,his and hers ring,couples ring set,engagement ring set,wedding ring set,couples promise ring,couple wedding band,promise ring set,black mens ring,woman gold ring,black and gold ring,black diamond ring,Custom Ring for Her","30.90%","55","4.90","None","4.00 days","3 days","5 days","2454","735","No","03 Eyl, 2023","Physical","No","No","Yes","9","Yes","0.43%","NaN","0.0","$1675",
"Flush Set Pear And Round Cut Moissanite Diamond Ring, 14K Yellow Gold Scattered Band Ring, Engagement Cigar Ring, Anniversary Gift For Wif2","$2999","32","$299.99","Jewelry","GRJewelsAndDiamond","10","7","Shop owner","Made to Order","819","No","https://www.etsy.com/listing/4338789964/flush-set-pear-and-round-cut-moissanite","13","Flush Set Ring,Diamond Ring,Teardrop Ring,Wedding Bridal Ring,Engagement Ring,Gift For Her,Anniversary Gift,Birthday Gift Ring,Women's Diamond Ring,Wide Ring,Cigar Band Ring,Scattered Band Ring,Moissanite Ring","0.00%","0","0.00","None","8.00 days","7 days","9 days","81","49","No","21 Tem, 2025","Physical","No","No","No","5","Yes","1.22%","NaN","0.0","$1963",
"Starry Night Couples Ring Set- His and Hers Night Court Wedding Bands- 14K Yellow Gold Vermeil/ Black Tungsten Matching Unique Promise Rings","$20580","68","$245.00","Jewelry","Aquamarise","84","7","Shop owner","Made to Order","34181","Yes","https://www.etsy.com/listing/1784636919/starry-night-couples-ring-set-his-and","13","Matching ring set,his and hers ring,couples ring set,engagement ring set,wedding ring set,couples promise ring,couple wedding band,promise ring set,statement rings,14k gold rings women,starry night ring,cosmic matching ring,night court ring set","30.95%","26","4.90","None","4.00 days","3 days","5 days","2425","377","No","27 A%u011Fu, 2024","Physical","No","No","Yes","8","Yes","0.25%","NaN","0.0","$1719",
